Week,Date,Year,Month,Month_Name,Quarter,Week_of_Year,Seasonality_Index,Spend_PaidSearch,Spend_PaidSocial,Spend_Email,Spend_Influencer,Total_Marketing_Spend,SEO_Organic_Index,Revenue,Orders,Avg_Order_Value,New_Visitors,Conversion_Rate_Pct,Adstock_PaidSearch,Adstock_PaidSocial,Adstock_Email,Adstock_Influencer,Trend_Index,Sin_52,Cos_52,Sin_26,Cos_26,Is_Q4,Is_BlackFriday,Is_Christmas,Is_January,Is_Summer
86,2024-08-19,2024,8,August,3,34,1.15,10099.3,5616.09,912.97,0.0,16628.36,0.8842,206637.87,2802,73.75,22529,12.437,15512.779930757091,10673.192470063073,1112.5594094015673,5224.602846708526,0.8269230769230769,-0.8229838658936564,-0.5680647467311559,0.9350162426854148,-0.35460488704253545,0,0,0,0,1
87,2024-08-26,2024,8,August,3,35,1.15,10666.16,6257.09,873.56,232.67,18029.49,0.8094,204803.55,2955,69.31,23633,12.504,16095.632975764982,11060.026611528383,1096.0718818803134,3106.2015656896897,0.8365384615384616,-0.8854560256532096,-0.4647231720437691,0.8229838658936571,-0.5680647467311547,0,0,0,0,1
88,2024-09-02,2024,9,September,3,36,1.15,10431.5,7038.84,789.57,17.35,18277.26,0.8748,199224.4,2925,68.11,23739,12.321,16064.971541517743,12015.851975187772,1008.7843763760627,1725.7608611293294,0.8461538461538461,-0.9350162426854147,-0.3546048870425359,0.6631226582407956,-0.7485107481711006,0,0,0,0,0
89,2024-09-09,2024,9,September,3,37,1.15,10088.1,6653.46,916.97,176.89,17835.41,0.839,196925.15,2698,72.99,22886,11.789,15710.84003953121,12060.593388834499,1118.7268752752125,1126.0584736211313,0.8557692307692307,-0.970941817426052,-0.23931566428755774,0.4647231720437685,-0.8854560256532099,0,0,0,0,0
90,2024-09-16,2024,9,September,3,38,1.0,10205.31,5252.56,824.58,10.13,16292.58,0.8778,188131.16,2803,67.12,24153,11.605,15704.104013835922,10679.827024975526,1048.3253750550425,629.4621604916223,0.8653846153846154,-0.992708874098054,-0.12053668025532357,0.23931566428755877,-0.9709418174260518,0,0,0,0,0
91,2024-09-23,2024,9,September,3,39,1.0,10038.83,6103.91,865.03,309.11,17316.88,0.8411,188613.98,2547,74.05,23624,10.781,15535.266404842572,10909.832161238986,1074.6950750110086,655.3141882703924,0.875,-1.0,-1.8369701987210297e-16,3.6739403974420594e-16,-1.0,0,0,0,0,0
92,2024-09-30,2024,9,September,3,40,1.0,10387.46,6231.19,850.37,263.3,17732.32,0.8146,190566.33,3001,63.5,24010,12.499,15824.803241694899,11140.614472557543,1065.3090150022017,623.7228035487158,0.8846153846153846,-0.992708874098054,0.1205366802553232,-0.23931566428755807,-0.9709418174260519,0,0,0,0,0
93,2024-10-07,2024,10,October,4,41,1.0,9719.18,5469.69,733.68,0.0,15922.54,0.8261,181391.21,2351,77.15,21140,11.121,15257.861134593215,10482.966512650895,946.7418030004403,343.0475419517937,0.8942307692307693,-0.9709418174260521,0.23931566428755738,-0.46472317204376784,-0.8854560256532102,1,0,0,0,0
94,2024-10-14,2024,10,October,4,42,1.0,9868.94,6092.24,755.19,145.74,16862.09,0.8839,188075.9,2529,74.37,21225,11.915,15209.191397107625,10809.574930692903,944.5383606000881,334.4161480734865,0.9038461538461539,-0.9350162426854148,0.35460488704253557,-0.6631226582407951,-0.7485107481711012,1,0,0,0,0
95,2024-10-21,2024,10,October,4,43,1.0,9843.16,6034.93,859.78,96.81,16834.67,0.8992,185787.43,2535,73.29,21484,11.799,15166.376988987668,10899.238718811806,1048.6876721200176,280.7388814404176,0.9134615384615384,-0.8854560256532101,0.464723172043768,-0.8229838658936557,-0.5680647467311568,1,0,0,0,0
96,2024-10-28,2024,10,October,4,44,1.0,9414.59,5314.22,848.83,6214.79,21792.43,0.8746,196935.54,2560,76.93,22623,11.316,14722.821946145683,10218.877423465314,1058.5675344240035,6369.19638479223,0.9230769230769231,-0.822983865893657,0.5680647467311548,-0.9350162426854141,-0.3546048870425378,1,0,0,0,0
97,2024-11-04,2024,11,November,4,45,1.55,11218.45,8139.67,963.33,6166.32,26487.76,0.9323,228474.01,2844,80.34,22577,12.597,16371.43768115099,12738.164840559391,1175.0435068848008,9669.378011635727,0.9326923076923077,-0.7485107481711011,0.6631226582407952,-0.992708874098054,-0.12053668025532294,1,0,0,0,0
98,2024-11-11,2024,11,November,4,46,1.55,11204.42,8261.47,974.39,6261.38,26701.66,0.8758,229593.14,2978,77.1,25882,11.506,16934.423188402845,13993.644178251725,1209.3987013769602,11579.53790639965,0.9423076923076923,-0.6631226582407955,0.7485107481711007,-0.9927088740980541,0.12053668025532208,1,0,0,0,0
99,2024-11-18,2024,11,November,4,47,2.1,12202.05,10499.83,1232.21,158.76,24092.85,0.9372,262099.44,4173,62.81,35817,11.651,18129.098115940993,16796.969880213277,1474.0897402753922,6527.505848519808,0.9519230769230769,-0.5680647467311559,0.8229838658936564,-0.9350162426854149,0.35460488704253534,1,1,0,0,0
100,2024-11-25,2024,11,November,4,48,2.1,12106.17,10482.28,1082.67,0.0,23671.12,0.9172,258348.03,3938,65.6,34442,11.434,18451.354340579346,18040.916446095976,1377.4879480550785,3590.1282166858946,0.9615384615384616,-0.4647231720437684,0.88545602565321,-0.8229838658936562,0.5680647467311561,1,1,0,0,0
101,2024-12-02,2024,12,December,4,49,1.85,11133.85,8148.4,1098.77,0.0,20381.02,0.949,240337.99,3489,68.88,30160,11.568,17591.824019202773,16266.812400743189,1374.2675896110156,1974.5705191772422,0.9711538461538461,-0.35460488704253595,0.9350162426854147,-0.6631226582407957,0.7485107481711006,1,0,0,0,0
102,2024-12-09,2024,12,December,4,50,1.85,11531.74,8412.3,1038.82,0.0,20982.87,0.9855,237572.21,3293,72.14,32033,10.28,17688.87840672097,15732.365580334434,1313.673517922203,1086.0137855474834,0.9807692307692307,-0.2393156642875578,0.970941817426052,-0.4647231720437686,0.8854560256532099,1,0,0,0,0
103,2024-12-16,2024,12,December,4,51,2.3,12462.91,10859.02,1172.59,0.0,24494.52,0.9741,260814.04,3496,74.6,28601,12.223,18654.01744235234,17938.584511150497,1435.3247035844406,597.3075820511159,0.9903846153846154,-0.12053668025532363,0.992708874098054,-0.2393156642875589,0.9709418174260518,1,0,1,0,0
104,2024-12-23,2024,12,December,4,52,2.3,12279.09,10858.27,1277.9,107.63,24522.89,1.0045,265381.54,3881,68.38,31958,12.144,18807.996104823316,18930.633030017725,1564.9649407168881,436.1491701281138,1.0,6.432490598706546e-16,1.0,1.2864981197413093e-15,1.0,1,0,1,0,0
